LOCATION,Country,VAR,Variable ,TIME,Time,Unit Code,Unit,PowerCode ,PowerCode,Reference ,Reference ,Value
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.358
CAN,Canada,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.999
CZE,Czechia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.778
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,6.035
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,15.583
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.617
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.842
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.246
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.589
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,5.831
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,4.85
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.747
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.41
KOR,Korea,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,5.312
LUX,Luxembourg,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.775
MEX,Mexico,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.325
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.829
NZL,New Zealand,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.591
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.946
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,5.144
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.456
SVK,Slovak Republic,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,758
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.098
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,5.841
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,4.331
TUR,Türkiye,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.137
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.71
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.037
CHL,Chile,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.803
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,1.209
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,7.632
LVA,Latvia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,13.836
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,6.916
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.953
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,3.165
ISR,Israel,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,7.103
CRI,Costa Rica,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.526
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,4.641
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,16.401
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,1.813
CAN,Canada,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,2.463
CZE,Czechia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,3.39
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,7.448
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2018,2018,0,0,0,Units,0,0,19.633
